Stock,positive,negative
MSFT,100.0,0.0
ORCL,77.77777777777779,22.22222222222222
AAPL,57.14285714285714,42.857142857142854
IBM,100.0,0.0
GOOGL,75.0,25.0
FB,50.0,50.0
NFLX,60.0,40.0
DIS,77.77777777777779,22.22222222222222
AMZN,58.333333333333336,41.66666666666667
TSLA,73.33333333333333,26.666666666666668
SBUX,72.72727272727273,27.27272727272727
NKE,66.66666666666666,33.33333333333333
WMT,100.0,0.0
COST,100.0,0.0
KO,100.0,0.0
PEP,100.0,0.0
V,100.0,0.0
PYPL,47.05882352941176,52.94117647058824
BAC,100.0,0.0
C,90.9090909090909,9.090909090909092
WFC,31.25,68.75
JNJ,75.0,25.0
PFE,88.88888888888889,11.11111111111111
UNH,100.0,0.0
AMGN,84.21052631578947,15.789473684210526
LLY,86.66666666666667,13.333333333333334
HON,100.0,0.0
UNP,87.5,12.5
MMM,84.21052631578947,15.789473684210526
TT,100.0,0.0
LMT,100.0,0.0
AMT,100.0,0.0
EQIX,100.0,0.0
PLD,100.0,0.0
O,90.9090909090909,9.090909090909092
